TIPO DE SÍMBOLO,CARACTERÍSTICA DE SÍMBOLO,MATERIAL,ESPACIO ASOCIADO,CATEGORÍA ESPACIO,DEDICACIÓN,PERSONAJE,DIRECCIÓN,MUNICIPIO,PROVINCIA,COMUNIDAD,AÑO DE INAUGURACIÓN,ESTADO,FECHA RETIRADA,Nº HABITANTES,LATITUD,LONGITUD,FUENTE,ALTURA
Monumentos y conjuntos monumentales,Conjunto Monumental,Piedra,Paraje Natural,Público,Caídos,Caídos,"Carretera de Guadarrama/El Escorial, 28209",Guadarrama,Comunidad de Madrid,Comunidad de Madrid,,Activo,,,40.6013493,-4.125966,,152
Monumentos y conjuntos monumentales,Conjunto Monumental,Piedra,Espacio Urbano,Público,Victoria,Victoria,"Av. de la Memoria, 32",Madrid,Comunidad de Madrid,Comunidad de Madrid,,Activo / No retira,,6507184,40.4359259,-3.7202065,,42
Placas,Placa Conmemorativa,Piedra,Vivienda,Privado,Victoria,Victoria,"Calle de San Fernando de Jarama, 6",Madrid,Comunidad de Madrid,Comunidad de Madrid,,Activo / No retira,,6507184,40.4386816,-3.6772489,https://diario.madrid.es/blog/notas-de-prensa/el-pleno-conocera-el-catalogo-de-vestigios-franquistas-para-su-retirada-del-espacio-publico/,ND
Placas,Placa Conmemorativa,Piedra,Vivienda,Privado,Victoria,Victoria,"Calle de Sambara, 73",Madrid,Comunidad de Madrid,Comunidad de Madrid,,Activo / No retira,,6507184,40.4355366,-3.6476241,https://diario.madrid.es/blog/notas-de-prensa/el-pleno-conocera-el-catalogo-de-vestigios-franquistas-para-su-retirada-del-espacio-publico/,ND
Escudos y relieves,Escudo,Piedra,Institución Pública,Público,Estado Franquista,Estado Franquista,"Calle de Guzmán el Bueno, 137",Madrid,Comunidad de Madrid,Comunidad de Madrid,,Activo / No retira,,6507184,40.4442008,-3.712595399999999,https://diario.madrid.es/blog/notas-de-prensa/el-pleno-conocera-el-catalogo-de-vestigios-franquistas-para-su-retirada-del-espacio-publico/,ND
Inscripciones y lápidas conmemorativas,Lápida,Mármol,Iglesia,Privado,Caídos,Caídos,"Calle Orión, 3",Madrid,Comunidad de Madrid,Comunidad de Madrid,,Activo,,6507184,40.4744149,-3.5780068,https://diario.madrid.es/blog/notas-de-prensa/el-pleno-conocera-el-catalogo-de-vestigios-franquistas-para-su-retirada-del-espacio-publico/,ND
Escudos y relieves,Escudo,Piedra,Institución Educativa,Público,Estado Franquista,Estado Franquista,"Calle de Toledo, 39",Madrid,Comunidad de Madrid,Comunidad de Madrid,,Activo / No retira,,6507184,40.4127251,-3.7072759,https://diario.madrid.es/blog/notas-de-prensa/el-pleno-conocera-el-catalogo-de-vestigios-franquistas-para-su-retirada-del-espacio-publico/,ND
Escudos y relieves,Escudo,Piedra,Institución Educativa,Público,Estado Franquista,Estado Franquista,"Calle Coslada, 16",Madrid,Comunidad de Madrid,Comunidad de Madrid,,Activo / No retira,,6507184,40.4375024,-3.6746977,https://diario.madrid.es/blog/notas-de-prensa/el-pleno-conocera-el-catalogo-de-vestigios-franquistas-para-su-retirada-del-espacio-publico/,ND
Inscripciones y lápidas conmemorativas,Lápida,Mármol,Iglesia,Privado,Caídos,Caídos,"Calle Eduardo Dato, 10",Madrid,Comunidad de Madrid,Comunidad de Madrid,,Activo,,6507184,40.4323209,-3.6927698,https://diario.madrid.es/blog/notas-de-prensa/el-pleno-conocera-el-catalogo-de-vestigios-franquistas-para-su-retirada-del-espacio-publico/,ND
Monumentos y conjuntos monumentales,Conjunto Monumental,Piedra,Espacio Urbano,Público,Calvo Sotelo,Calvo Sotelo,"Paseo de la Castellana, 187",Madrid,Comunidad de Madrid,Comunidad de Madrid,,Activo,,6507184,40.465192,-3.689423,,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,Estanislao Gómez,Estanislao Gómez,Calle Estanislao Gomez,Madrid,Madrid,Comunidad de Madrid,,Activo,,3266126,40.4521172,-3.609632,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,Manuel Fraga Iribarne,Manuel Fraga Iribarne,Avda Manuel Fraga Iribarne,Madrid,Madrid,Comunidad de Madrid,,Activo,,3266126,40.4916838,-3.6086157,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,Calvo Sotelo,Calvo Sotelo,Calle Calvo Sotelo,Madrid,Madrid,Comunidad de Madrid,,Activo,,3266126,40.4731877,-3.8338499,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,Francisco Franco,Francisco Franco,Calle Franco,Madrid,Madrid,Comunidad de Madrid,,Retirado,27/04/2017,3266126,40.4448523,-3.681802199999999,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Placas,Placa Conmemorativa,Metal,Vivienda,Privado,Carrero Blanco,Carrero Blanco,"Calle de Sambara, 73",Madrid,Comunidad de Madrid,Comunidad de Madrid,,Activo,,6779888,40.4342674962835,-3.685322400113428,Participación Ciudadana,ND
Inscripciones y lápidas conmemorativas,Lápida,Piedra,Iglesia,Privado,Caídos,Caídos,Calle del Gral. Ricardos,Madrid,Comunidad de Madrid,Comunidad de Madrid,,Activo,,6779888,40.39632101320425,-3.7178367417391582,Participación Ciudadana,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Av. de Entrevías, 114",Madrid,Madrid,Comunidad de Madrid,,Activo,,6779888,40.3768858,-3.6617559,Participación Ciudadana,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Av. de Entrevías, 116",Madrid,Madrid,Comunidad de Madrid,,Activo,,6779888,40.3767655,-3.661602499999999,Participación Ciudadana,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Av. de Entrevías, 122",Madrid,Madrid,Comunidad de Madrid,,Activo,,6779888,40.3764548,-3.6612734,Participación Ciudadana,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Av. de Entrevías, 126",Madrid,Madrid,Comunidad de Madrid,,Activo,,6779888,40.37625999999999,-3.66104,Participación Ciudadana,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle sierra morena, 4",Madrid,Madrid,Comunidad de Madrid,,Activo,,6779888,40.3804136,-3.6255007,Participación Ciudadana,ND
